document_id,set,question,answer1,answer2,question_tokenized,answer1_tokenized,answer2_tokenized,answera,answerb,answerc,answerd
2390db68-0b25-11ea-9221-c9dc32036b5d,test,How would Sir Gerald Doak best be described?,"He is just as uneducated and materialistic as Americans, but he is less pretentious and status-conscious","He is just as uneducated and materialistic as Americans, but he is less pretentious and status-conscious",How would Sir Gerald Doak best be described?,"He is just as uneducated and materialistic as Americans, but he is less pretentious and status-conscious","He is just as uneducated and materialistic as Americans, but he is less pretentious and status-conscious","He is an educated, cultured British aristocrat, but he is less pretentious than Americans.","He is an educated, cultured British aristocrat who disdains the vulgar materialism of Americans.","He is an educated, cultured British aristocrat, but he is as materialistic as the Americans","He is just as uneducated and materialistic as Americans, but he is less pretentious and status-conscious"
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What happens after Riesling shoots Zilla during an argument?,"Paul is sentenced to three years in jail, and Zilla hates him all the more.","Paul is sentenced to three years in jail, and Zilla hates him all the more.",What happens after Riesling shoots Zilla during an argument?,"Paul is sentenced to three years in jail, and Zilla hates him all the more.","Paul is sentenced to three years in jail, and Zilla hates him all the more.","Paul is sentenced to three years in jail, and Zilla hates him all the more.",Zilla dies and Riesling is sentenced to life in prison.,"Paul is sentenced to three years in jail, but after Zilla begs the governor for clemency, he is released.",Babbitt turns his back on Riesling because he disapproves of his violent reaction to Zilla's nagging.
2390db68-0b25-11ea-9221-c9dc32036b5d,test,How would Tanis' bohemian friends best be described?,All of the above,All of the above,How would Tanis' bohemian friends best be described?,All of the above,All of the above,They are as shallow as Babbitt's friends.,They have a rigid standard of conformity just like Babbitt's friends.,"They think they are rebels, but they are simply playing at rebellion.",All of the above
2390db68-0b25-11ea-9221-c9dc32036b5d,test,Why does Babbitt end his affair with Tanis?,He realizes that her rebellion against social convention is just as silly and ridiculous as his.,He realizes that her rebellion against social convention is just as silly and ridiculous as his.,Why does Babbitt end his affair with Tanis?,He realizes that her rebellion against social convention is just as silly and ridiculous as his.,He realizes that her rebellion against social convention is just as silly and ridiculous as his.,He realizes that her rebellion against social convention is just as silly and ridiculous as his.,He realizes that he really loves Myra.,Tanis has been seeing another man.,"After Gunch threatened to organize a ""social boycott"" through the Good Citizen's League to punish Babbitt for his rebellion against social convention, Babbitt was too afraid to continue seeing her."
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What crisis prompts Babbitt to return to his conventional middle-class lifestyle after a brief rebellion?,Myra becomes seriously ill.,Myra becomes seriously ill.,What crisis prompts Babbitt to return to his conventional middle-class lifestyle after a brief rebellion?,Myra becomes seriously ill.,Myra becomes seriously ill.,Ted elopes with Eunice Littlefield.,"After Myra finds out about his affair with Tanis, she threatens to divorce him and take all his money.",Myra becomes seriously ill.,His business begins to fail after the community begins to ostracize him for his rebellion against its values.
2390db68-0b25-11ea-9221-c9dc32036b5d,test,How does Babbitt react to Ted's decision to elope and drop out of college?,"Babbitt doesn't approve of early marriages and he wishes Ted would finish college, but he supports Ted's right to live his life on his own terms.","Babbitt doesn't approve of early marriages and he wishes Ted would finish college, but he supports Ted's right to live his life on his own terms.",How does Babbitt react to Ted's decision to elope and drop out of college?,"Babbitt doesn't approve of early marriages and he wishes Ted would finish college, but he supports Ted's right to live his life on his own terms.","Babbitt doesn't approve of early marriages and he wishes Ted would finish college, but he supports Ted's right to live his life on his own terms.","Babbitt doesn't approve of early marriages and he wishes Ted would finish college, but he supports Ted's right to live his life on his own terms.",Babbitt threatens to disown Ted if he doesn't get his marriage annulled and return to college.,"Babbitt disapproves of Ted's actions, but he is too afraid to criticize him for fear that he will lose his son.",Babbitt supports Ted wholeheartedly because he thinks Ted made a wise decision.
2390db68-0b25-11ea-9221-c9dc32036b5d,test,"How is Babbitt changed after he returns to his conventional, middle-class life?","Babbitt feels defeated by the social pressure to conform, but he recognizes the ignorance, hypocrisy, and shallowness of the middle-class lifestyle.","Babbitt feels defeated by the social pressure to conform, but he recognizes the ignorance, hypocrisy, and shallowness of the middle-class lifestyle.","How is Babbitt changed after he returns to his conventional, middle-class life?","Babbitt feels defeated by the social pressure to conform, but he recognizes the ignorance, hypocrisy, and shallowness of the middle-class lifestyle.","Babbitt feels defeated by the social pressure to conform, but he recognizes the ignorance, hypocrisy, and shallowness of the middle-class lifestyle.",Babbitt isn't changed at all.,Babbitt has a renewed commitment and faith in conventional middle-class values.,"Babbitt feels defeated by the social pressure to conform, but he recognizes the ignorance, hypocrisy, and shallowness of the middle-class lifestyle.","Babbitt decides to return to his conventional lifestyle, but he resolves to actually practice the morals he preaches, unlike his friends and associates."
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What city is Babbitt set in?,Zenith,Zenith,What city is Babbitt set in?,Zenith,Zenith,Syzygy,Nadir,Zenith,Equinox
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What does Babbitt frequently say he wants to quit?,Smoking,Smoking,What does Babbitt frequently say he wants to quit?,Smoking,Smoking,Shoplifting,Gambling,Drinking,Smoking
2390db68-0b25-11ea-9221-c9dc32036b5d,test,Where do Riesling and Babbitt go on vacation together?,Maine,Maine,Where do Riesling and Babbitt go on vacation together?,Maine,Maine,Rhode Island,New York,Maine,Vermont
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What fantasy figure is Babbitt searching for?,A fairy girl,A fairy girl,What fantasy figure is Babbitt searching for?,A fairy girl,A fairy girl,A fairy girl,A mermaid,A unicorn,A witch
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What does Myra fall ill with?,Appendicitis,Appendicitis,What does Myra fall ill with?,Appendicitis,Appendicitis,Pneumonia,Appendicitis,Cholera,Measles
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What is Babbitt’s profession?,Real estate broker,Real estate broker,What is Babbitt’s profession?,Real estate broker,Real estate broker,Bank teller,Loan shark,Real estate broker,Travelling salesman
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What two qualities describe Myra?,"Dull, conventional","Dull, conventional",What two qualities describe Myra?,"Dull, conventional","Dull, conventional","Dull, conventional","Unpleasant, sly","Bright, unconventional","Witty, adventurous"
2390db68-0b25-11ea-9221-c9dc32036b5d,test,Which character shoots his wife?,Riesling,Riesling,Which character shoots his wife?,Riesling,Riesling,Babbitt,Riesling,Thompson,Kenneth
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What is the name given to Tanis’s Bohemian friends?,The Bunch,The Bunch,What is the name given to Tanis’s Bohemian friends?,The Bunch,The Bunch,The Bunch,The Herd,The Set,The Group
2390db68-0b25-11ea-9221-c9dc32036b5d,test,Who writes jingles for advertisements?,Frink,Frink,Who writes jingles for advertisements?,Frink,Frink,Finkelstein,Kenneth,Frink,Graff
2390db68-0b25-11ea-9221-c9dc32036b5d,test,Where does Babbitt live?,Floral Heights,Floral Heights,Where does Babbitt live?,Floral Heights,Floral Heights,Meadowville,Prairie Hollow,Floral Heights,Arboreal Plains
2390db68-0b25-11ea-9221-c9dc32036b5d,test,"What, along with Myra’s cheerful morning greeting, expels the remnants of Babbitt’s fantasy world?",Babbitt’s alarm clock,Babbitt’s alarm clock,"What, along with Myra’s cheerful morning greeting, expels the remnants of Babbitt’s fantasy world?",Babbitt’s alarm clock,Babbitt’s alarm clock,Babbitt’s alarm clock,The lawnmower next door,Children shouting,A radio playing
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What has given Babbitt the headache he wakes up with?,Illegally-brewed beer,Illegally-brewed beer,What has given Babbitt the headache he wakes up with?,Illegally-brewed beer,Illegally-brewed beer,Illegally-distilled gin,Illegally-brewed beer,Too much soda,Bad coffee
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What job is Verona doing?,Filing clerk,Filing clerk,What job is Verona doing?,Filing clerk,Filing clerk,Journalist,Charity worker,Secretary,Filing clerk
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What calms Babbitt at the breakfast table?,Reading the paper,Reading the paper,What calms Babbitt at the breakfast table?,Reading the paper,Reading the paper,Reading the paper,Checking his emails,Talking to his family,Listening to the radio
2390db68-0b25-11ea-9221-c9dc32036b5d,test,Who does Babbitt respect as a “great scholar”?,Littlefield,Littlefield,Who does Babbitt respect as a “great scholar”?,Littlefield,Littlefield,Himself,Littlefield,The Doppelbraus,Miss McGoun
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What does the gas attendant make Babbitt feel like?,A man of weight,A man of weight,What does the gas attendant make Babbitt feel like?,A man of weight,A man of weight,A green lad,An epic fool,A man of weight,A man of leisure
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What does Babbitt give a person waiting for the streetcars?,A ride,A ride,What does Babbitt give a person waiting for the streetcars?,A ride,A ride,A ride,A cigarette,A map,His pen
2390db68-0b25-11ea-9221-c9dc32036b5d,test,Who does Babbitt defend to the man he helps?,The Traction Company,The Traction Company,Who does Babbitt defend to the man he helps?,The Traction Company,The Traction Company,Communism,The Local Government,The Traction Company,The Meat Industry
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What does Babbitt give to his secretary Miss McGoun?,Dictation,Dictation,What does Babbitt give to his secretary Miss McGoun?,Dictation,Dictation,A portfolio,Dictation,His poetry,A fiscal report
2390db68-0b25-11ea-9221-c9dc32036b5d,test,Who does Babbitt argue with over the poetic value of Laylock's advertisement for the Glen Oriole division?,Laylock,Laylock,Who does Babbitt argue with over the poetic value of Laylock's advertisement for the Glen Oriole division?,Laylock,Laylock,Himself,Laylock,Myra,Riesling
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What relation does Babbitt imagine Riesling is to him?,Younger brother,Younger brother,What relation does Babbitt imagine Riesling is to him?,Younger brother,Younger brother,Twin,No relation,Father figure,Younger brother
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What does Babbitt lack real knowledge of?,"Architecture, landscaping, and economics","Architecture, landscaping, and economics",What does Babbitt lack real knowledge of?,"Architecture, landscaping, and economics","Architecture, landscaping, and economics","Architecture, landscaping, and economics","Leases, titles, prices",Newspapers and hearsay,His fantasies
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What does Archibald Purdy want to build?,A butcher shop,A butcher shop,What does Archibald Purdy want to build?,A butcher shop,A butcher shop,A butcher shop,A grocer’s,A strip mall,A housing development
2390db68-0b25-11ea-9221-c9dc32036b5d,test,"How much profit does Lyte make on the sale of the lot, thanks to Babbitt?","$9,000","$9,000","How much profit does Lyte make on the sale of the lot, thanks to Babbitt?","$9,000","$9,000","$4,000",$400,$600,"$9,000"
2390db68-0b25-11ea-9221-c9dc32036b5d,test,Where is Babbitt meeting Riesling for lunch?,The Athletic Club,The Athletic Club,Where is Babbitt meeting Riesling for lunch?,The Athletic Club,The Athletic Club,The Union Club,The Athletic Club,The Soccer Club,McDonalds
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What does Babbitt purchase right before meeting Riesling?,An electric cigar lighter,An electric cigar lighter,What does Babbitt purchase right before meeting Riesling?,An electric cigar lighter,An electric cigar lighter,An electric cigar lighter,A hedge trimmer,An electric cigar trimmer,An e-cigarette
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What words do members of the Athletic Club use to describe the Union Club?,"Snobbish, expensive","Snobbish, expensive",What words do members of the Athletic Club use to describe the Union Club?,"Snobbish, expensive","Snobbish, expensive","Boring, staid","Low-class, cheap","Snobbish, expensive","Raucous, Bohemian"
2390db68-0b25-11ea-9221-c9dc32036b5d,test,By what name are Babbitt and his friends collectively known?,The Roughnecks,The Roughnecks,By what name are Babbitt and his friends collectively known?,The Roughnecks,The Roughnecks,The Rednecks,The Roughnecks,The Longnecks,The Shortnecks
2390db68-0b25-11ea-9221-c9dc32036b5d,test,Babbitt and Riesling confess to feeling ___ with/about their lives.,Discontented,Discontented,Babbitt and Riesling confess to feeling ___ with/about their lives.,Discontented,Discontented,Discontented,Happy,Neutral,Hopeful
2390db68-0b25-11ea-9221-c9dc32036b5d,test,"After lunch, where does Babbitt take a client on a tour of?",A tenement,A tenement,"After lunch, where does Babbitt take a client on a tour of?",A tenement,A tenement,A golf course,A strip mall,A tenement,A factory
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What do the client and Babbitt both appreciate?,The mechanical and modern,The mechanical and modern,What do the client and Babbitt both appreciate?,The mechanical and modern,The mechanical and modern,The rudimentary and archaic,The mechanical and modern,The Classical and refined,The Bohemian and artistic
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What does Babbitt help his father-in-law Thompson to buy?,A car,A car,What does Babbitt help his father-in-law Thompson to buy?,A car,A car,A plot of land,A car,A burger,A bicycle
2390db68-0b25-11ea-9221-c9dc32036b5d,test,Who strikes Babbitt as an example of taking civilization too far?,Ryland,Ryland,Who strikes Babbitt as an example of taking civilization too far?,Ryland,Ryland,Ryland,Thompson,Graff,Himself
2390db68-0b25-11ea-9221-c9dc32036b5d,test,"After Ted and Babbitt discus Ted’s education, Ted drives his friends to ___.",Chorus rehearsal,Chorus rehearsal,"After Ted and Babbitt discus Ted’s education, Ted drives his friends to ___.",Chorus rehearsal,Chorus rehearsal,The mall,School,A nightclub,Chorus rehearsal
2390db68-0b25-11ea-9221-c9dc32036b5d,test,For whom do Babbitt and Myra throw a dinner party?,Zenith’s keenest intellects,Zenith’s keenest intellects,For whom do Babbitt and Myra throw a dinner party?,Zenith’s keenest intellects,Zenith’s keenest intellects,Zenith’s coolest crew,Zenith’s keenest intellects,Zenith’s most fabulous,Zenith’s dullards
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What is Healey Hanson’s job?,Speakeasy proprietor,Speakeasy proprietor,What is Healey Hanson’s job?,Speakeasy proprietor,Speakeasy proprietor,Supermarket manager,Nightclub owner,Police officer,Speakeasy proprietor
2390db68-0b25-11ea-9221-c9dc32036b5d,test,Who do the guests attempt to summon with their séance?,Dante,Dante,Who do the guests attempt to summon with their séance?,Dante,Dante,Dante,Virgil,Plutarch,Santa
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What does Zilla accuse Riesling of doing when Babbitt and Myra visit?,Cheating on her,Cheating on her,What does Zilla accuse Riesling of doing when Babbitt and Myra visit?,Cheating on her,Cheating on her,Causing drama,Cheating on her,Stealing,Murder
2390db68-0b25-11ea-9221-c9dc32036b5d,test,"In New York, what does Riesling ask Babbitt to look at with him?",Ocean liners,Ocean liners,"In New York, what does Riesling ask Babbitt to look at with him?",Ocean liners,Ocean liners,Ocean liners,Tall ships,The subway,The Met
2390db68-0b25-11ea-9221-c9dc32036b5d,test,Babbitt is elected as a/an ___ to the annual convention for the State Association of Real Estate Boards.,Official delegate,Official delegate,Babbitt is elected as a/an ___ to the annual convention for the State Association of Real Estate Boards.,Official delegate,Official delegate,Diplomatic advisor,Chairperson,Official delegate,Treasurer
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What is the name of the chairman of the convention program-committee?,Cecil Rountree,Cecil Rountree,What is the name of the chairman of the convention program-committee?,Cecil Rountree,Cecil Rountree,Cecil Rountree,Cyril Rowantree,Celia Rountree,Celia Rowantree
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What does the chairman of the convention program-committee ask Babbitt to do?,Write a paper,Write a paper,What does the chairman of the convention program-committee ask Babbitt to do?,Write a paper,Write a paper,Write a poem,Write a paper,Paint a picture,Take a photograph
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What is Cecil Rountree known as?,A diplomat of business,A diplomat of business,What is Cecil Rountree known as?,A diplomat of business,A diplomat of business,A diplomat of business,A great leader,A teacher of business,An artistic genius
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What does Babbitt do after he delivers the paper to the convention?,Drinks and parties,Drinks and parties,What does Babbitt do after he delivers the paper to the convention?,Drinks and parties,Drinks and parties,Goes home right away,Drinks and parties,Goes missing,Goes away on holiday
2390db68-0b25-11ea-9221-c9dc32036b5d,test,Who is elected president at the beginning of chapter 14?,Warren G. Harding,Warren G. Harding,Who is elected president at the beginning of chapter 14?,Warren G. Harding,Warren G. Harding,Calvin Coolidge,William Henry Harrison,Warren G. Harding,Woodrow Wilson
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What is Lucas Prout’s profession?,Mattress manufacturer,Mattress manufacturer,What is Lucas Prout’s profession?,Mattress manufacturer,Mattress manufacturer,Labourer,Surgeon,Mattress manufacturer,Lawyer
2390db68-0b25-11ea-9221-c9dc32036b5d,test,Babbitt earns a reputation as ___ by delivering speeches in support of Prout's candidacy.,An orator,An orator,Babbitt earns a reputation as ___ by delivering speeches in support of Prout's candidacy.,An orator,An orator,A bore,An orator,A lickspittle,A charmer
2390db68-0b25-11ea-9221-c9dc32036b5d,test,On what does Babbitt place his hopes for social advancement?,His college reunion,His college reunion,On what does Babbitt place his hopes for social advancement?,His college reunion,His college reunion,His new job,Financial gains,Club memberships,His college reunion
2390db68-0b25-11ea-9221-c9dc32036b5d,test,Who invites a reluctant Babbitt and Myra over for a failure of a dinner?,The Overbrooks,The Overbrooks,Who invites a reluctant Babbitt and Myra over for a failure of a dinner?,The Overbrooks,The Overbrooks,The Overbrooks,The McKelveys,The Rieslings,Reverend Drew
2390db68-0b25-11ea-9221-c9dc32036b5d,test,"What does Eunice Littlefield, Ted’s girlfriend, have a deep passion for?",The movies,The movies,"What does Eunice Littlefield, Ted’s girlfriend, have a deep passion for?",The movies,The movies,Horses,The movies,Golfing,Her work
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What does Babbitt want Ted to study after school?,Law,Law,What does Babbitt want Ted to study after school?,Law,Law,Law,Mechanics,Engineering,Medicine
2390db68-0b25-11ea-9221-c9dc32036b5d,test,"When Howard Littlefield checks on Ted’s party, what is he horrified to see Ted and Eunice doing?",Dancing closely together,Dancing closely together,"When Howard Littlefield checks on Ted’s party, what is he horrified to see Ted and Eunice doing?",Dancing closely together,Dancing closely together,Dancing closely together,Smoking,Drinking alcohol,Shooting
2390db68-0b25-11ea-9221-c9dc32036b5d,test,How does Babbitt feel about family matters after a visit from his mother and half-brother Martin's family?,Irritated,Irritated,How does Babbitt feel about family matters after a visit from his mother and half-brother Martin's family?,Irritated,Irritated,Irritated,Neutral,Happy,Disgusted
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What does the Street Traction Company want to build on the land Babbitt extorts a high price for?,Repair shops,Repair shops,What does the Street Traction Company want to build on the land Babbitt extorts a high price for?,Repair shops,Repair shops,An artificial lake,A hotel,Repair shops,Stables
2390db68-0b25-11ea-9221-c9dc32036b5d,test,To what position is Babbitt elected at the Booster's club?,Vice president,Vice president,To what position is Babbitt elected at the Booster's club?,Vice president,Vice president,President,Vice president,Treasurer,Chair
2390db68-0b25-11ea-9221-c9dc32036b5d,test,"What crime has Riesling been arrested for, according to Myra?",Shooting his wife,Shooting his wife,"What crime has Riesling been arrested for, according to Myra?",Shooting his wife,Shooting his wife,Stabbing a neighbour,Shooting his daughter,Shooting his wife,Stabbing a passer-by
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What does Babbitt offer to do to help Riesling?,Perjure himself,Perjure himself,What does Babbitt offer to do to help Riesling?,Perjure himself,Perjure himself,Defend Riesling in court,Turn himself in,Recuse himself,Perjure himself
2390db68-0b25-11ea-9221-c9dc32036b5d,test,Riesling receives a sentence of ___.,3 years,3 years,Riesling receives a sentence of ___.,3 years,3 years,40 years,5 years,3 years,8 years
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What is Ida Putiak’s profession?,Manicurist,Manicurist,What is Ida Putiak’s profession?,Manicurist,Manicurist,Barber,Manicurist,Secretary,Journalist
2390db68-0b25-11ea-9221-c9dc32036b5d,test,"As violence erupts in Zenith, which force is called in?",The National Guard,The National Guard,"As violence erupts in Zenith, which force is called in?",The National Guard,The National Guard,The coastguard,The National Guard,Mercenaries,The police
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What does Babbitt call Reverend Drew’s sermon?,Rot,Rot,What does Babbitt call Reverend Drew’s sermon?,Rot,Rot,Rot,Apt,Dismal,Key
2390db68-0b25-11ea-9221-c9dc32036b5d,test,How do Babbitt’s friends behave towards him after his outburst?,Cooler,Cooler,How do Babbitt’s friends behave towards him after his outburst?,Cooler,Cooler,Aggressively,Neutral,Friendlier,Cooler
2390db68-0b25-11ea-9221-c9dc32036b5d,test,"Who falls ill, causing Myra to leave Zenith for a few weeks?",Myra’s sister,Myra’s sister,"Who falls ill, causing Myra to leave Zenith for a few weeks?",Myra’s sister,Myra’s sister,Myra’s sister,Myra’s brother,Myra’s mother,Myra’s father
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What does Pumphrey see Babbitt doing with Tanis and her friends?,Driving drunk,Driving drunk,What does Pumphrey see Babbitt doing with Tanis and her friends?,Driving drunk,Driving drunk,Gambling,Having tea,Driving drunk,Sailing
2390db68-0b25-11ea-9221-c9dc32036b5d,test,Who does a speaker at the Booster club rally against?,Immigrants,Immigrants,Who does a speaker at the Booster club rally against?,Immigrants,Immigrants,Immigrants,Babbitt,Marriage,Labour laws
2390db68-0b25-11ea-9221-c9dc32036b5d,test,"What do Charles McKelvey, Dr. Dilling, and Colonel Rutherford Snow demand Babbitt join?",The Good Citizen's League,The Good Citizen's League,"What do Charles McKelvey, Dr. Dilling, and Colonel Rutherford Snow demand Babbitt join?",The Good Citizen's League,The Good Citizen's League,The Justice League,The Good Citizen's League,The Temperance League,The League of Gentlemen
2390db68-0b25-11ea-9221-c9dc32036b5d,test,Which characters offer Babbitt support in his struggle against conformity?,"Eunice, Ted","Eunice, Ted",Which characters offer Babbitt support in his struggle against conformity?,"Eunice, Ted","Eunice, Ted","Eunice, Ted","Miss McGoun, Tanis","Myra, Riesling","McKelvey, Snow"
2390db68-0b25-11ea-9221-c9dc32036b5d,test,How long is Myra in the hospital recovering from appendicitis?,17 days,17 days,How long is Myra in the hospital recovering from appendicitis?,17 days,17 days,A week,17 days,3 months,2 days
2390db68-0b25-11ea-9221-c9dc32036b5d,test,What does Ted confess he wants to do for a living?,Be a mechanic,Be a mechanic,What does Ted confess he wants to do for a living?,Be a mechanic,Be a mechanic,Be a mechanic,Be an artist,Be a lawyer,Rob banks
2ffc2524-0b25-11ea-9221-c9dc32036b5d,test,What is the verdictat Dmitri’s trial?,Dmitri never comes to trial,Dmitri never comes to trial,What is the verdictat Dmitri’s trial?,Dmitri never comes to trial,Dmitri never comes to trial,Guilty,Innocent,A mistrial is declared,Dmitri never comes to trial
2ffc2524-0b25-11ea-9221-c9dc32036b5d,test,Which of the Karamazovbrothers does Miusov help to raise?,Dmitri,Dmitri,Which of the Karamazovbrothers does Miusov help to raise?,Dmitri,Dmitri,Ivan,Alyosha,Dmitri,Smerdyakov
2ffc2524-0b25-11ea-9221-c9dc32036b5d,test,Which characteris the son of Stinking Lizaveta?,Smerdyakov,Smerdyakov,Which characteris the son of Stinking Lizaveta?,Smerdyakov,Smerdyakov,Ivan,Smerdyakov,Dmitri,Alyosha
2ffc2524-0b25-11ea-9221-c9dc32036b5d,test,Why does Dmitrileave Katerina?,He is in love with Grushenka,He is in love with Grushenka,Why does Dmitrileave Katerina?,He is in love with Grushenka,He is in love with Grushenka,He wishes to become a monk,He is in love with Marfa,He knows that Katerina loves Ivan,He is in love with Grushenka
2ffc2524-0b25-11ea-9221-c9dc32036b5d,test,To whom does Alyoshabecome engaged?,Lise,Lise,To whom does Alyoshabecome engaged?,Lise,Lise,Lise,Katerina,Grushenka,Madame Khokhlakov
2ffc2524-0b25-11ea-9221-c9dc32036b5d,test,What does FyodorPavlovich offer Grushenka if she chooses him over Dmitri?,His finest horse,His finest horse,What does FyodorPavlovich offer Grushenka if she chooses him over Dmitri?,His finest horse,His finest horse,His undying love and respect,A farm in the Balkans,His finest horse,"3,000 rublesin cash"
2ffc2524-0b25-11ea-9221-c9dc32036b5d,test,Who tells Dmitriabout Grushenka’s secret knock?,Smerdyakov,Smerdyakov,Who tells Dmitriabout Grushenka’s secret knock?,Smerdyakov,Smerdyakov,Ivan,Smerdyakov,Ilyusha,Katerina
2ffc2524-0b25-11ea-9221-c9dc32036b5d,test,What does Kolyaclaim as his political affiliation?,Socialism,Socialism,What does Kolyaclaim as his political affiliation?,Socialism,Socialism,Revolutionary liberalism,Communism,Monarchism,Socialism
2ffc2524-0b25-11ea-9221-c9dc32036b5d,test,Who brings Zuchkato Ilyusha’s bedside?,Kolya,Kolya,Who brings Zuchkato Ilyusha’s bedside?,Kolya,Kolya,Kolya,Alyosha,Ilyusha’s father,No one
2ffc2524-0b25-11ea-9221-c9dc32036b5d,test,How does Christrespond to the Grand Inquisitor’s list of accusations?,He kisses the Grand Inquisitor on thelips,He kisses the Grand Inquisitor on thelips,How does Christrespond to the Grand Inquisitor’s list of accusations?,He kisses the Grand Inquisitor on thelips,He kisses the Grand Inquisitor on thelips,He begins to weep,He turns away from the Grand Inquisitor,He kisses the Grand Inquisitor on thelips,He kneels before the Grand Inquisitor
2ffc2524-0b25-11ea-9221-c9dc32036b5d,test,What is the subjectof Dmitri’s hallucination?,A minor devil,A minor devil,What is the subjectof Dmitri’s hallucination?,A minor devil,A minor devil,Satan,A minor devil,Katerina,Jesus
2ffc2524-0b25-11ea-9221-c9dc32036b5d,test,Which elder isAlyosha’s teacher?,Zosima,Zosima,Which elder isAlyosha’s teacher?,Zosima,Zosima,Ferapont,Paisy,Miusov,Zosima
2ffc2524-0b25-11ea-9221-c9dc32036b5d,test,What single injusticetroubles Ivan most?,The suffering of children,The suffering of children,What single injusticetroubles Ivan most?,The suffering of children,The suffering of children,The suffering of children,Poverty and starvation,The exaltation of evil men,Bad things happening to good people
2ffc2524-0b25-11ea-9221-c9dc32036b5d,test,Who raises Smerdyakov?,Grigory and his wife,Grigory and his wife,Who raises Smerdyakov?,Grigory and his wife,Grigory and his wife,Fyodor Pavlovich,Alyosha,Grigory and his wife,Samsonov
2ffc2524-0b25-11ea-9221-c9dc32036b5d,test,Who introducesAlyosha to Grushenka?,Rakitin,Rakitin,Who introducesAlyosha to Grushenka?,Rakitin,Rakitin,Samsonov,Rakitin,Dmitri,Katerina
2ffc2524-0b25-11ea-9221-c9dc32036b5d,test,Who exhibitsthe letter at Dmitri’s trial?,Katerina,Katerina,Who exhibitsthe letter at Dmitri’s trial?,Katerina,Katerina,Grigory,Fyodor Pavlovich,Kirrillovich,Katerina
2ffc2524-0b25-11ea-9221-c9dc32036b5d,test,Who slams herown hand in the door?,Lise,Lise,Who slams herown hand in the door?,Lise,Lise,Madame Khokhlakov,Lise,Grushenka,Katerina
2ffc2524-0b25-11ea-9221-c9dc32036b5d,test,What do the schoolboyschant after Alyosha’s speech at the funeral?,“Hurrah for Karamazov!”,“Hurrah for Karamazov!”,What do the schoolboyschant after Alyosha’s speech at the funeral?,“Hurrah for Karamazov!”,“Hurrah for Karamazov!”,“Hurray!”,“Hurrah for Alyosha!”,“Hurrah for Karamazov!”,“Hurrah for Ilyusha!”
2ffc2524-0b25-11ea-9221-c9dc32036b5d,test,When and wheredoes the Grand Inquisitor story take place?,Sixteenth-century Spain,Sixteenth-century Spain,When and wheredoes the Grand Inquisitor story take place?,Sixteenth-century Spain,Sixteenth-century Spain,Sixteenth-century Spain,Present-day Russia,Mid-nineteenth-century England,Medieval France
2ffc2524-0b25-11ea-9221-c9dc32036b5d,test,Which of thefollowing was an actual experience of Dostoevsky that influencedthe writing of The Brothers Karamazov?,All of the above,All of the above,Which of thefollowing was an actual experience of Dostoevsky that influencedthe writing of The Brothers Karamazov?,All of the above,All of the above,The murder of his father,His time in prison,His epilepsy,All of the above
2ffc2524-0b25-11ea-9221-c9dc32036b5d,test,Who brings Grushenkato the town?,Samsonov,Samsonov,Who brings Grushenkato the town?,Samsonov,Samsonov,Alyosha,Dmitri,Fyodor Pavlovich,Samsonov
